time.struct_time(tm_year=2021, tm_mon=7, tm_mday=12, tm_hour=18, tm_min=21, tm_sec=22, tm_wday=0, tm_yday=193, tm_isdst=0): DL Model dectected, ship
time.struct_time(tm_year=2021, tm_mon=7, tm_mday=12, tm_hour=18, tm_min=21, tm_sec=26, tm_wday=0, tm_yday=193, tm_isdst=0): Notification sent for Vessel Not Breach, ship
time.struct_time(tm_year=2021, tm_mon=7, tm_mday=12, tm_hour=18, tm_min=21, tm_sec=32, tm_wday=0, tm_yday=193, tm_isdst=0): DL Model dectected, ship
time.struct_time(tm_year=2021, tm_mon=7, tm_mday=12, tm_hour=18, tm_min=21, tm_sec=36, tm_wday=0, tm_yday=193, tm_isdst=0): Notification sent for Vessel Not Breach, ship
time.struct_time(tm_year=2021, tm_mon=7, tm_mday=12, tm_hour=18, tm_min=21, tm_sec=42, tm_wday=0, tm_yday=193, tm_isdst=0): DL Model dectected, ship
time.struct_time(tm_year=2021, tm_mon=7, tm_mday=12, tm_hour=18, tm_min=21, tm_sec=46, tm_wday=0, tm_yday=193, tm_isdst=0): Notification sent for Vessel Not Breach, ship
time.struct_time(tm_year=2021, tm_mon=7, tm_mday=12, tm_hour=18, tm_min=21, tm_sec=52, tm_wday=0, tm_yday=193, tm_isdst=0): DL Model dectected, ship
time.struct_time(tm_year=2021, tm_mon=7, tm_mday=12, tm_hour=18, tm_min=21, tm_sec=56, tm_wday=0, tm_yday=193, tm_isdst=0): Notification sent for Vessel Not Breach, ship
time.struct_time(tm_year=2021, tm_mon=7, tm_mday=12, tm_hour=18, tm_min=22, tm_sec=2, tm_wday=0, tm_yday=193, tm_isdst=0): DL Model dectected, ship
time.struct_time(tm_year=2021, tm_mon=7, tm_mday=12, tm_hour=18, tm_min=22, tm_sec=6, tm_wday=0, tm_yday=193, tm_isdst=0): Notification sent for Vessel Not Breach, ship
time.struct_time(tm_year=2021, tm_mon=7, tm_mday=12, tm_hour=18, tm_min=22, tm_sec=12, tm_wday=0, tm_yday=193, tm_isdst=0): DL Model dectected, ship
time.struct_time(tm_year=2021, tm_mon=7, tm_mday=12, tm_hour=18, tm_min=22, tm_sec=16, tm_wday=0, tm_yday=193, tm_isdst=0): Notification sent for Vessel Not Breach, ship
time.struct_time(tm_year=2021, tm_mon=7, tm_mday=12, tm_hour=18, tm_min=22, tm_sec=22, tm_wday=0, tm_yday=193, tm_isdst=0): DL Model dectected, ship
time.struct_time(tm_year=2021, tm_mon=7, tm_mday=12, tm_hour=18, tm_min=22, tm_sec=26, tm_wday=0, tm_yday=193, tm_isdst=0): Notification sent for Vessel Not Breach, ship
time.struct_time(tm_year=2021, tm_mon=7, tm_mday=12, tm_hour=18, tm_min=22, tm_sec=32, tm_wday=0, tm_yday=193, tm_isdst=0): DL Model dectected, ship
time.struct_time(tm_year=2021, tm_mon=7, tm_mday=12, tm_hour=18, tm_min=22, tm_sec=36, tm_wday=0, tm_yday=193, tm_isdst=0): Notification sent for Vessel Not Breach, ship
time.struct_time(tm_year=2021, tm_mon=7, tm_mday=12, tm_hour=18, tm_min=22, tm_sec=42, tm_wday=0, tm_yday=193, tm_isdst=0): DL Model dectected, ship
time.struct_time(tm_year=2021, tm_mon=7, tm_mday=12, tm_hour=18, tm_min=22, tm_sec=46, tm_wday=0, tm_yday=193, tm_isdst=0): Notification sent for Vessel Not Breach, ship
time.struct_time(tm_year=2021, tm_mon=7, tm_mday=12, tm_hour=18, tm_min=22, tm_sec=52, tm_wday=0, tm_yday=193, tm_isdst=0): DL Model dectected, ship
time.struct_time(tm_year=2021, tm_mon=7, tm_mday=12, tm_hour=18, tm_min=22, tm_sec=56, tm_wday=0, tm_yday=193, tm_isdst=0): Notification sent for Vessel Not Breach, ship
time.struct_time(tm_year=2021, tm_mon=7, tm_mday=12, tm_hour=18, tm_min=23, tm_sec=2, tm_wday=0, tm_yday=193, tm_isdst=0): DL Model dectected, ship
time.struct_time(tm_year=2021, tm_mon=7, tm_mday=12, tm_hour=18, tm_min=23, tm_sec=6, tm_wday=0, tm_yday=193, tm_isdst=0): Notification sent for Vessel Not Breach, ship
time.struct_time(tm_year=2021, tm_mon=7, tm_mday=12, tm_hour=18, tm_min=23, tm_sec=12, tm_wday=0, tm_yday=193, tm_isdst=0): DL Model dectected, ship
time.struct_time(tm_year=2021, tm_mon=7, tm_mday=12, tm_hour=18, tm_min=23, tm_sec=16, tm_wday=0, tm_yday=193, tm_isdst=0): Notification sent for Vessel Not Breach, ship
time.struct_time(tm_year=2021, tm_mon=7, tm_mday=12, tm_hour=18, tm_min=23, tm_sec=21, tm_wday=0, tm_yday=193, tm_isdst=0): DL Model dectected, ship
time.struct_time(tm_year=2021, tm_mon=7, tm_mday=12, tm_hour=18, tm_min=23, tm_sec=26, tm_wday=0, tm_yday=193, tm_isdst=0): Notification sent for Vessel Not Breach, ship
time.struct_time(tm_year=2021, tm_mon=7, tm_mday=12, tm_hour=18, tm_min=23, tm_sec=31, tm_wday=0, tm_yday=193, tm_isdst=0): DL Model dectected, ship
time.struct_time(tm_year=2021, tm_mon=7, tm_mday=12, tm_hour=18, tm_min=23, tm_sec=35, tm_wday=0, tm_yday=193, tm_isdst=0): Notification sent for Vessel Not Breach, ship
time.struct_time(tm_year=2021, tm_mon=7, tm_mday=12, tm_hour=18, tm_min=23, tm_sec=41, tm_wday=0, tm_yday=193, tm_isdst=0): DL Model dectected, ship
